Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.119,,2019-03-05 12:59:44,2019-03-05 12:59:48,4.159s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-05 12:59:48,2019-03-05 13:00:19,30.876s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), G_ShortTimeOut)",Chrome 72.0.3626.119,,2019-03-05 13:00:19,2019-03-05 13:00:20,1.594s,ERROR
,,,,,,
Test Cases/Common Test Cases/Login_NonValid,Chrome 72.0.3626.119,,2019-03-05 13:00:21,2019-03-05 13:01:58,1m - 37.724s,ERROR
"comment(""Customer Login with non valid account"")",Chrome 72.0.3626.119,,2019-03-05 13:00:21,2019-03-05 13:00:21,0.000s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-05 13:00:21,2019-03-05 13:00:33,12.170s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.119,,2019-03-05 13:00:33,2019-03-05 13:01:24,50.824s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-05 13:01:24,2019-03-05 13:01:58,34.683s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), G_ShortTimeOut)",Chrome 72.0.3626.119,,2019-03-05 13:01:58,2019-03-05 13:01:58,0.015s,ERROR
