Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setText(findTestObject(""Page_CDG/Input_Email""), Input_Email)",Chrome 72.0.3626.121,,2019-03-12 13:11:28,2019-03-12 13:11:29,0.292s,PASSED
"setText(findTestObject(""Page_CDG/input_Password""), input_Password)",Chrome 72.0.3626.121,,2019-03-12 13:11:29,2019-03-12 13:11:29,0.140s,PASSED
"click(findTestObject(""Page_CDG/button_Login""))",Chrome 72.0.3626.121,,2019-03-12 13:11:29,2019-03-12 13:11:29,0.085s,PASSED
"callTestCase(findTestCase(""Main Test Cases/TC1_Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:11:29,2019-03-12 13:11:33,3.952s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 13:11:33,2019-03-12 13:11:33,0.705s,PASSED
,,,,,,
Test Cases/Common Test Cases/Login_NonValid,Chrome 72.0.3626.121,,2019-03-12 13:11:33,2019-03-12 13:12:32,58.274s,PASSED
"comment(""Customer Login with non valid account"")",Chrome 72.0.3626.121,,2019-03-12 13:11:34,2019-03-12 13:11:34,0.001s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-12 13:11:34,2019-03-12 13:11:38,4.052s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.121,,2019-03-12 13:11:38,2019-03-12 13:11:41,3.372s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:11:41,2019-03-12 13:12:12,30.314s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), Input_Email)",Chrome 72.0.3626.121,,2019-03-12 13:12:12,2019-03-12 13:12:12,0.216s,PASSED
"setText(findTestObject(""Page_CDG/input_Password""), input_Password)",Chrome 72.0.3626.121,,2019-03-12 13:12:12,2019-03-12 13:12:12,0.136s,PASSED
"click(findTestObject(""Page_CDG/button_Login""))",Chrome 72.0.3626.121,,2019-03-12 13:12:12,2019-03-12 13:12:12,0.090s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify_Failed_Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:12:12,2019-03-12 13:12:31,19.082s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 13:12:31,2019-03-12 13:12:32,0.675s,PASSED
,,,,,,
Test Cases/Common Test Cases/Login_NonValid,Chrome 72.0.3626.121,,2019-03-12 13:12:32,2019-03-12 13:13:24,52.761s,PASSED
"comment(""Customer Login with non valid account"")",Chrome 72.0.3626.121,,2019-03-12 13:12:32,2019-03-12 13:12:32,0.004s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-12 13:12:32,2019-03-12 13:12:35,3.505s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.121,,2019-03-12 13:12:35,2019-03-12 13:12:38,2.756s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:12:38,2019-03-12 13:13:05,26.601s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), Input_Email)",Chrome 72.0.3626.121,,2019-03-12 13:13:05,2019-03-12 13:13:05,0.242s,PASSED
"setText(findTestObject(""Page_CDG/input_Password""), input_Password)",Chrome 72.0.3626.121,,2019-03-12 13:13:05,2019-03-12 13:13:05,0.167s,PASSED
"click(findTestObject(""Page_CDG/button_Login""))",Chrome 72.0.3626.121,,2019-03-12 13:13:05,2019-03-12 13:13:05,0.079s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify_Failed_Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:13:05,2019-03-12 13:13:24,18.706s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 13:13:24,2019-03-12 13:13:24,0.694s,PASSED
